included_for_analysis,start_date,progress,duration,finished,informed_consent,fruit_answer,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,control_engagement_1,control_engagement_2,control_description,proximal_engagement_1,proximal_engagement_2,proximal_description,distal_engagement_1,distal_engagement_2,distal_description,concerned,serious_impact,likely,relative_importance,mitigation_intention_1,mitigation_intention_2,mitigation_intention_3,mitigation_intention_4,mitigation_intention_5,mitigation_intention_6,mitigation_intention_7,policy_support_1,policy_support_2,policy_support_3,policy_support_4,PD_1,PD_2,PD_3,PD_4,math,PD_5,PD_6,PD_7,PD_8,efficacy_1,efficacy_2,efficacy_3,efficacy_4,experience,damage_1,damage_2,age,gender,gender_text,race,ethnicity,education,fossil_fuel,zip_code,zip_code_duration,political_party,political_party_text,political_scale,condition
2,3/13/23 8:00,100,122,1,1,5,6,3,5,4,4,7,5,6,4,6,3,3,4,6,2,12,12,It’s about climate change ,,,,,,,6,5,4,4,3,3,4,4,3,5,3,3,4,5,1,3,5,2,2,5,4,3,3,4,3,3,3,2,2,,,4,2,,1,2,2,3,75482,2019,1,,7,control
1,4/2/23 17:59,100,155,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,12,12,It's filled with a lot of pretty good facts that one wouldn't normally know,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,7,7,6,1,,2,2,2,3,78748,2018,4,,7,distal
2,3/27/23 12:46,100,173,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12,Helping with the weather and stuff,,,,,,,6,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,,,6,2,,1,2,1,3,77004,2014,1,,1,control
0,3/13/23 8:02,100,229,1,1,5,7,6,4,1,6,7,6,5,7,5,7,4,7,6,5,12,11,understand life in itself and the disasters it has caused there isn’t much to it once read.,,,,,,,6,5,4,4,1,2,2,3,1,2,2,3,2,3,3,4,3,5,3,2,5,4,1,2,5,5,5,4,1,4,5,4,2,,1,2,5,2,78102,2020,4,,4,control
2,3/14/23 8:07,100,196,1,1,5,5,7,7,6,7,5,6,7,6,5,7,4,7,3,6,12,12,That climate change is causing severe weather changes that are effecting the daily lives of our society.,,,,,,,5,7,7,6,3,4,3,4,3,5,3,3,5,5,3,1,1,5,3,5,1,3,1,2,5,5,5,5,1,3,5,5,1,,4,2,4,3,77389,2010,1,,6,control
2,3/29/23 23:02,100,221,1,1,5,7,6,7,7,7,7,5,7,7,1,7,4,7,7,7,12,11,That extreme weather conditions are due to climate change,,,,,,,5,6,3,4,3,3,5,4,4,3,2,5,3,5,3,1,1,3,3,5,1,1,5,4,5,5,5,5,2,,,4,2,,2,2,3,3,77004,2021,3,,4,control
0,3/13/23 8:03,100,178,1,1,5,5,5,4,5,6,5,5,6,4,5,6,5,4,5,5,10,10,None,,,,,,,3,3,4,3,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,4,5,2,,4,2,5,3,75248,2020,4,,4,control
2,3/15/23 23:20,100,227,1,1,5,5,6,5,5,6,7,5,6,5,4,5,5,4,5,6,11,10,That weather patterns are changing.,,,,,,,5,5,4,5,4,3,2,1,4,4,2,4,4,4,3,3,3,3,4,5,3,3,3,3,3,4,4,4,2,,,5,2,,1,2,5,3,75181,2001,4,,2,control
2,3/14/23 8:16,100,243,1,1,5,7,7,7,7,7,6,7,7,7,7,7,1,7,7,7,12,12,Climate change is destroying the world,,,,,,,7,7,7,7,4,1,3,1,1,1,4,5,5,5,3,1,1,5,5,5,1,1,1,1,5,5,5,5,2,,,7,2,,1,2,4,3,76116,5 yrs ago,4,,3,control
0,3/13/23 8:01,100,394,1,1,5,5,4,2,7,5,7,7,7,7,6,7,5,4,3,4,9,10,"I wouldn't cause I didn't understanding it
",,,,,,,1,4,7,3,5,1,1,4,5,5,1,3,3,3,3,3,4,4,3,4,3,4,4,3,5,3,3,2,1,7,7,5,1,,1,2,2,3,77372,1990,1,,4,control
2,3/14/23 10:04,100,265,1,1,5,6,6,6,6,5,6,6,6,6,5,4,6,5,7,6,12,10,"The frequency of climate related events, such as fires, warming, and violent storm are occurring with great frequency according to a team of government experts.  These events which also include hurricanes and drought are having a serious impact on the world as a whole.",,,,,,,6,6,5,5,4,2,2,2,4,3,4,1,1,1,1,4,4,4,3,5,4,3,3,2,3,4,4,4,1,1,1,8,1,,1,2,5,3,75093,1996,1,,5,control
0,3/13/23 8:05,100,227,1,1,5,5,4,5,5,4,5,4,6,4,6,5,5,1,4,5,,,,11,11,It would be that the words are nice and numbered,,,,4,5,5,6,4,3,4,4,4,4,3,2,4,3,4,2,4,4,3,2,4,3,3,3,3,3,4,3,1,4,5,4,1,,2,2,2,2,77971,77971,3,,4,proximal
0,3/13/23 8:02,100,391,1,1,5,5,6,5,7,6,7,5,5,5,6,5,4,6,5,4,,,,11,11,It was some bad weather that hit Texas and the hurricane Imelda,,,,4,4,4,5,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,1,4,5,5,2,,2,2,2,3,77032,77032,4,,4,proximal
0,3/13/23 8:07,100,149,1,1,5,5,4,2,6,6,4,5,5,4,7,3,3,5,6,2,,,,,,,11,9,I would explain the situation thoroughly,5,3,4,4,3,3,4,2,4,3,2,4,2,4,3,2,4,2,4,4,5,3,2,4,3,4,4,1,2,,,5,2,,1,2,6,3,79424,2014,1,,6,distal
2,3/14/23 8:15,100,275,1,1,5,4,3,6,4,3,7,5,6,5,5,5,4,5,5,4,12,11,We need to be more concerned about our climate control and what we can do to help,,,,,,,3,4,5,4,3,1,4,4,4,2,4,4,4,4,3,3,4,3,3,5,5,3,3,2,5,3,4,4,1,7,7,6,2,,1,2,2,3,78207,2022,3,,3,control
2,3/14/23 9:28,100,275,1,1,5,6,5,5,4,4,5,4,6,4,4,5,4,5,6,4,11,10,Environmental outbreaks are becoming more frequent and pose a threat to communities around the world ,,,,,,,6,7,5,5,4,2,2,3,4,2,4,3,3,4,4,3,3,3,3,5,3,2,3,3,4,4,4,4,2,,,5,4,,1,2,5,3,75407,2021,5,,2,control
2,3/13/23 8:00,100,282,1,1,5,4,6,5,5,4,4,7,6,6,6,6,6,4,6,5,11,9,Just a bunch of random talk to blame it on climate change ,,,,,,,1,2,1,1,2,1,1,2,2,2,3,1,1,1,3,5,1,1,1,5,3,1,1,1,1,1,3,1,2,,,8,1,,1,2,2,3,78163,2020,1,,7,control
2,3/16/23 0:45,100,282,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,11,Global warming is serious ,,,,,,,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,4,5,5,5,4,5,4,2,,,5,2,,2,2,2,3,75050,1 year and 3 months ,3,,4,control
0,3/13/23 8:07,100,247,1,1,5,6,5,4,5,5,6,6,5,4,3,3,3,6,2,5,,,,12,10,Thos story attempts to explain the effects of climate change on weather and storms,,,,5,5,5,5,4,2,4,3,4,3,2,5,1,3,2,4,1,3,5,3,4,5,3,2,3,4,2,4,2,,,6,1,,1,2,2,3,77957,2021,1,,4,proximal
2,3/14/23 8:05,100,284,1,1,5,6,6,7,7,1,3,2,6,6,1,1,3,1,7,7,12,11,Extreme weather related events are on the rise globally. ,,,,,,,7,7,6,6,5,4,1,5,2,4,5,5,5,5,4,1,2,5,5,5,1,1,1,5,3,2,4,4,1,4,5,5,1,,1,2,3,3,77480,1990,3,,4,control
2,3/28/23 8:59,100,285,1,1,5,4,4,4,6,6,7,7,7,7,7,7,7,7,7,7,12,12,"As climate changes, the weather goes to extremes",,,,,,,4,7,7,1,5,5,1,5,1,1,5,5,5,4,5,5,5,5,1,5,5,5,5,2,5,5,4,2,2,,,6,2,,4,2,3,3,75040,2017,1,,1,control
2,3/14/23 8:08,100,292,1,1,5,5,5,5,4,6,7,3,6,5,6,5,5,5,7,6,11,11,Weather is becoming more dangerous,,,,,,,6,4,5,5,4,3,4,4,3,3,4,4,4,4,3,4,4,3,4,5,4,4,4,2,5,5,5,5,1,5,6,5,2,,5,2,5,3,78641,2020,3,,3,control
2,3/14/23 8:13,100,292,1,1,5,6,6,6,6,6,6,4,6,5,4,6,3,4,5,6,11,11,Climate change is threatening our planet ,,,,,,,6,6,5,4,3,4,2,4,2,4,5,4,4,3,3,3,3,3,3,5,3,3,2,3,3,3,3,3,2,,,6,2,,1,1,4,3,78626,2021,3,,4,control
2,3/14/23 10:22,100,304,1,1,5,4,2,5,4,4,6,6,6,5,5,6,5,4,5,3,10,10,Climate is changing ,,,,,,,2,3,2,1,2,3,1,2,2,2,4,2,2,3,3,4,4,3,2,5,3,3,4,2,2,3,3,3,2,,,5,2,,1,2,5,3,76247,1995,1,,6,control
0,3/13/23 8:08,100,432,1,1,5,6,6,5,6,7,6,7,7,6,6,5,6,6,6,7,,,,,,,11,11,Information on natural disasters ,4,5,5,5,4,1,1,1,1,3,1,2,3,4,3,3,4,4,3,4,3,4,3,4,4,4,4,4,2,,,6,2,,1,2,6,3,76705,2014,4,,5,distal
2,3/14/23 8:27,100,311,1,1,5,6,7,7,6,7,7,6,7,6,5,5,5,7,7,6,12,12,"Climate change is causing severe changes in weather and temperature. As stated by IPCC, examples include fires, hurricanes, and heavy rain which has led to damage in ecosystems and more.",,,,,,,6,7,7,5,4,4,2,4,5,3,4,3,4,4,4,2,2,5,5,5,1,2,1,4,5,5,4,5,2,,,4,2,,4,2,2,3,75035,2007,5,,2,control
0,3/13/23 8:02,100,911,1,1,5,6,5,6,5,5,5,7,7,5,5,4,3,6,5,6,,,,,,,12,10,"Climate change, according to what I read, is changing the world and it's weather. In some cases to the extreme. Including the intense rainfall that they are associating with tropical cyclones.",6,6,6,6,3,4,3,2,2,5,5,4,2,4,3,1,1,4,5,4,1,2,2,4,4,4,3,4,2,,,8,2,,1,2,5,3,79412,2017,1,,5,distal
2,3/14/23 8:53,100,314,1,1,5,5,6,5,6,5,6,5,7,3,5,7,3,6,5,7,9,9,This is a very one sided report on climate change. It encourages fear mongering and not informing of all the facts,,,,,,,2,2,1,1,4,5,1,3,2,3,3,2,1,1,1,1,3,2,1,5,4,2,4,3,2,2,1,1,1,5,4,7,2,,1,2,2,3,77450,1998,1,,4,control
2,3/18/23 10:42,100,319,1,1,5,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,11,12,The climate is getting worse ,,,,,,,7,7,7,7,5,1,1,1,1,1,5,3,5,5,5,5,5,5,5,5,2,5,3,5,5,5,5,5,2,,,7,2,,1,2,2,3,76837,2004,4,,3,control
